ticker,year,chatgpt_index_pros,chatgpt_index_cons,chatgpt_language_index
AAT,2014,0.0,0.0,0.0
AAT,2015,0.0,0.0,0.0
AAT,2016,0.022929857672778407,0.08853428005102051,0.055732068861899464
AAT,2017,0.0,0.0,0.0
AAT,2018,0.0,0.0,0.0
AAT,2019,0.06587494176689684,0.09442413451950868,0.08014953814320276
AAT,2020,0.0,0.0447645236213025,0.02238226181065125
AAT,2021,0.0,0.23276084268322994,0.11638042134161497
AAT,2022,0.0,0.0,0.0
AAT,2023,0.12846725595475142,0.24948874714163072,0.18897800154819105
AAT,2024,0.0,0.11567684681986357,0.05783842340993178
AAT,2025,0.0,0.0,0.0
ABR,2016,0.07298431053057527,0.0,0.03649215526528764
ABR,2017,0.09854960106172847,0.0,0.049274800530864235
ABR,2018,0.090273068347229,0.0,0.0451365341736145
ABR,2019,0.042023669747847985,0.0,0.021011834873923992
ABR,2020,0.08596459072389435,0.0,0.04298229536194718
ABR,2021,0.05029934889233653,0.0,0.025149674446168266
ABR,2022,0.08205507587970914,0.02359787345175603,0.052826474665732585
ABR,2023,0.15824457143374904,0.044624651530763115,0.10143461148225608
ABR,2024,0.06089883188067541,0.031189358525618452,0.04604409520314693
ABR,2025,0.04844686615319921,0.05052983342583882,0.049488349789519014
ADC,2018,0.0,0.0,0.0
ADC,2019,0.0,0.1634263866683804,0.0817131933341902
ADC,2021,0.0,0.12072856370593707,0.060364281852968535
ADC,2022,0.0,0.0,0.0
ADC,2023,0.33084508927865985,0.0,0.16542254463932993
ADC,2024,0.0,0.0,0.0
ADC,2025,0.10526889204320997,0.0,0.05263444602160498
AHH,2016,0.19805368626357508,0.0,0.09902684313178754
AHH,2017,0.0,0.0,0.0
AHH,2018,0.0,0.0,0.0
AHH,2019,0.0,0.0,0.0
AHH,2020,0.0,0.0,0.0
AHH,2021,0.07470695564356836,0.0,0.03735347782178418
AHH,2022,0.13723759252512507,0.0,0.06861879626256254
AHH,2023,0.09263662499802477,0.07517061513765892,0.08390362006784186
AHH,2024,0.10371799342022055,0.0,0.051858996710110274
AHR,2022,0.0,0.0,0.0
AHR,2023,0.0,0.0,0.0
AHR,2024,0.17814735576543225,0.0,0.08907367788271613
AHR,2025,0.020655702079450704,0.0,0.010327851039725352
AHT,2015,0.0,0.14163620177926303,0.07081810088963152
AHT,2016,0.0,0.0,0.0
AHT,2017,0.5017671348977051,0.0,0.25088356744885254
AHT,2020,0.0,0.0,0.0
AHT,2021,0.08404733949569597,0.09960106505739807,0.09182420227654703
AHT,2022,0.0,0.0,0.0
AHT,2023,0.0,0.0,0.0
AHT,2024,0.1901315388130321,0.02190250542978294,0.10601702212140753
AHT,2025,0.812457615125061,0.0,0.4062288075625305
ALEX,2014,0.0,0.0,0.0
ALEX,2015,0.23159156249506194,0.0,0.11579578124753097
ALEX,2020,0.0,0.0,0.0
