title,rating,date,pros,cons,company,ticker,scrape_date,glassdoor_url
American Assets Trust,5.0,"Apr 16, 2025","Great work/life balance, amenities, staff and leadership.",None to report at this time.,American Assets Trust,AAT,2025-11-11,https://www.glassdoor.com/Reviews/American-Assets-Trust-Reviews-E354669.htm
"Low-Quality Employer, Toxic Work Culture",1.0,"Feb 13, 2025",This was the worst employer I've ever worked for and I wish I had paid attention to all the negative reviews. The hiring manager told me during the interview that it was a great place to work. The reality is that American Assets management is unethical and encourages unhealthy competition between employees. There's no work/life balance and you're expected to work weekends. Burnout is common and management doesn't care about employees' well-being at all. The only thing they value is money. This is why American Assets is constantly getting sued (more than seven lawsuits in San Diego alone in the past year). There was high turnover at the property I worked at. People either quit in a short amount of time because of the toxic work culture or were fired. Don't expect job security or loyalty from American Assets.,Management doesn't comply with some laws and encourages an unhealthy work culture.,American Assets Trust,AAT,2025-11-11,https://www.glassdoor.com/Reviews/American-Assets-Trust-Reviews-E354669.htm
Varied leadership,2.0,"Mar 10, 2025",Work life balance depends on department. Nice office.,Management/leadership depends on the department. Tone at the top doesn’t always trickle down to middle management. 5 days in office is archaic.,American Assets Trust,AAT,2025-11-11,https://www.glassdoor.com/Reviews/American-Assets-Trust-Reviews-E354669.htm
American Assets Devalues Employees,1.0,"Aug 23, 2024",Pay is good for some positions.,"American Assets has to pay good wages, otherwise who would work for them? The company has a rigid, toxic work culture. Poor work-life balance, micromanaging and a lack of communication from supervisors are the norm. Management lacks empathy and respect for employees. They claim that they want to provide a fair and inclusive workplace, yet they stifle employees and ignore their complaints. And they're obsessed with appearances. My former supervisor is unprofessional and lacks leadership skills. I had a warning sign that he was a bad boss when he asked me an inappropriate question during the interview. His boss isn't any better. I wasn't the only one who was miserable. My co-workers would say things like, ""If I'm one minute late from break, I'll be in trouble"" and ""I hate the office politics here."" If you value your mental health, don't work for American Assets.",American Assets Trust,AAT,2025-11-11,https://www.glassdoor.com/Reviews/American-Assets-Trust-Reviews-E354669.htm
Amazing work atmosphere and support!,5.0,"Jul 25, 2023","Easy access to support, training programs and materials. Great team environment and beautiful properties. Excellent benefits and fair salaries. HR works hard to accommodate everyone and make sure they feel welcomed. Corporate employees are very friendly and helpful. Work for Earnest Rady!",I wouldn't say its a downside but there's room for improvement. Some procedures are not efficient and things could be more consistent/uniformed. Contracts process is very time consuming and tedious. High insurance requirements make it difficult for vendors to offer us good rates for services or even work for us.,American Assets Trust,AAT,2025-11-11,https://www.glassdoor.com/Reviews/American-Assets-Trust-Reviews-E354669.htm
Do not recommend,2.0,"Oct 29, 2023",On site staff are wonderful people,Company itself is not what it should be,American Assets Trust,AAT,2025-11-11,https://www.glassdoor.com/Reviews/American-Assets-Trust-Reviews-E354669.htm
Great company,5.0,"Sep 14, 2023",This is a great company to work for.,I did not see any cons working for this company,American Assets Trust,AAT,2025-11-11,https://www.glassdoor.com/Reviews/American-Assets-Trust-Reviews-E354669.htm
,5.0,"Oct 17, 2014","Majority nice people and coworkers. Great portfolio, care about their assets. Good stepstone til you find a batter opportunity.","No growth, some managers have questionable intentions, managers do not mentor, I've seen temper tantrums from a superior, some micro managing and be-mottling but certain managers, there are a lot of ""politics"", arrogance of certain management, no recognition for busting your bum, low moral and motivation, far below average pay, little to no yearly raise and poor bonuses.",American Assets Trust,AAT,2025-11-11,https://www.glassdoor.com/Reviews/American-Assets-Trust-Reviews-E354669.htm
Great people & comfortable lifestyle,4.0,"Apr 15, 2019","I'm a recent new hire at AAT, and thus far everyone has been kind and welcoming. The team is high performing, but with good work/life balance (including yoga twice each week from noon - 1pm). The facilities are beautiful, and the assets owned by AAT are irreplaceable. I'm very happy with my new position and would recommend AAT to any prospective employees!","Executives generally want you to be in-office (i.e. minimal work from home). There are opportunities to get things done on your own time at home, but generally speaking you're expected to be on-site during work hours. That being said - this is in many ways a pro, as the work stops when you leave the office which is not the case with many companies. I have found this to be highly beneficial for my life, both physically and emotionally.",American Assets Trust,AAT,2025-11-11,https://www.glassdoor.com/Reviews/American-Assets-Trust-Reviews-E354669.htm
So much potential but toxic culture is holding them back,2.0,"Aug 8, 2020",Advancement within company is pretty good and they have amazing assets. Onsite living an option for managers.,"Company culture is toxic. Profit driven instead of value driven, at least in the multi family side. Business systems are chaotic as they use multiple platforms and there are always integration issues which makes managing an asset 10x harder than it should be. Pay is awful, HR department is shady and gaslight hard workers. Cliques are a huge part of the culture and not in a good way. Offers no proper training what so ever. This company has so much potential but a lot of bad actors in mid level management are holding the company back.",American Assets Trust,AAT,2025-11-11,https://www.glassdoor.com/Reviews/American-Assets-Trust-Reviews-E354669.htm
